"ID","Category","Scenario","Steps","Expected Outcome","Priority","Actual Outcome (Pass/Fail)","Notes"
"B2","Holdings","Add unknown-but-valid ticker","Add a holding for a real ticker not in the autocomplete list","Holding appears after a short delay (real Massive API validation call)","Medium","",""
"B3","Holdings","Add invalid ticker","Add a holding with a made-up/nonexistent ticker symbol","Error: ""This ticker isn't supported yet""; a ""Request support"" option appears","High","",""
"B4","Holdings","Request support for unsupported ticker","Click ""Request support"" after B3","No visible error; a row is recorded in the ticker_support_requests table","Low","",""
"B5","Holdings","Add a ticker already held","Add a holding for a ticker you already actively hold","No duplicate holding created; a new buy transaction is added to the existing holding","High","",""
"B6","Holdings","Re-add a previously removed ticker","Remove a holding, then add that same ticker again","A brand-new holding is created (doesn't error, doesn't resurrect the old removed one)","Medium","",""
"B7","Holdings","W-8BEN checked on add","Add a US holding with the W-8BEN checkbox checked","Holding's suggested withholding rate reflects 15%, not 30%","High","",""
"B8","Holdings","Remove a holding preserves history","Remove (""Usuń pozycję"") a holding that has an already-paid-out confirmed dividend","Holding disappears from the active holdings list; that dividend still appears in Recent Activity and in its Tax Year","High","",""
"B9","Holdings","Removed holding still viewable directly","After B8, open that holding's old detail page URL directly","Page still loads (not a 404), shows its historical data","Medium","",""
"B10","Holdings","Toggle W-8BEN after creation","On a holding's detail page, toggle W-8BEN confirmed on, save","Suggested withholding rate updates to reflect the new W-8BEN status","Medium","",""
"B11","Holdings","Manual withholding override applied","Set a manual withholding-rate override on a holding","Tax calculations for that holding's dividends use the override, not the suggested rate","Medium","",""
"B12","Holdings","Clear withholding override","Clear a previously set withholding-rate override","Calculations revert to the suggested (domicile/W-8BEN-based) rate","Low","",""
"C1","Transactions","Add buy transaction","Add a buy transaction to an existing holding","Quantity-at-date and average price recalculate correctly from that date forward","High","",""
"C2","Transactions","Oversell blocked","Add a sell transaction for more shares than were held as of that date","Blocked with an error; no transaction recorded","High","",""
"C3","Transactions","Exact sell succeeds","Add a sell transaction for exactly the quantity held as of that date","Succeeds; quantity held drops to 0 (or the remainder) after that date","Medium","",""
"C4","Transactions","Delete transaction recalculates","Delete an existing transaction","Quantity/average price recalculate as if that transaction never existed","Medium","",""
"C5","Transactions","Future-dated transaction","Attempt to submit a transaction dated after today (bypass the date picker's max client-side)","Currently accepted server-side (no server date validation) — confirm this is still the intended behavior","Low","","Known gap: no server-side max-date check"
"C6","Transactions","Backdated first transaction excludes earlier dividends","Add a holding's very first transaction dated after an already-synced dividend's ex-date","That earlier dividend computes to 0 shares held and is excluded","Medium","",""
"D1","Sync/Tax","Upcoming to qualified transition","Wait for/trigger daily sync once a holding's ex-dividend date has passed","Dividend event status flips from ""upcoming"" to ""qualified""","High","",""
"D2","Sync/Tax","Qualified to paid-out transition","Wait for/trigger daily sync once a dividend's pay date has passed","Status flips to ""paid out""; PLN figures finalize (no longer ""not yet finalized"")","High","",""
"D3","Sync/Tax","US dividend WITH W-8BEN","Check a paid-out US dividend on a holding with W-8BEN confirmed","Foreign withholding used is 15%; Polish tax due is ~4% of gross after credit","High","",""
"D4","Sync/Tax","US dividend WITHOUT W-8BEN","Check a paid-out US dividend on a holding without W-8BEN confirmed","Foreign withholding used is 30%; Polish credit still capped at the 15% treaty rate; same ~4% owed to Poland as D3","High","",""
"D5","Sync/Tax","NBP rate correctness","Check the NBP FX rate used for a confirmed dividend","Matches the official NBP rate for the business day before the pay date","Medium","",""
"D6","Sync/Tax","Manual cron trigger succeeds","GET /api/cron/sync-dividends with header Authorization: Bearer <correct CRON_SECRET>","Returns a JSON result, no error","High","",""
"D7","Sync/Tax","Cron rejects bad auth","GET /api/cron/sync-dividends with a missing or wrong bearer token","Rejected (401/403), no sync performed","High","",""
"D8","Sync/Tax","Zero-quantity holding skips dividend","Check a holding with 0 shares held as of a dividend's ex-date (fully sold before then)","No dividend_event created for that payout; it's skipped","Low","",""
"E1","Notifications","Upcoming notification created","New ""upcoming"" dividend event is created by sync","In-app notification appears in the bell dropdown","Medium","",""
"E2","Notifications","Confirmed notification is separate","Dividend event flips from upcoming to paid out","A second, distinct notification appears (not a duplicate of the upcoming one)","Medium","",""
"E3","Notifications","Mark single notification read","Click one notification in the dropdown","Marked as read; unread badge count decreases","Low","",""
"E4","Notifications","Mark all read","Click ""mark all read""","All notifications marked read; badge disappears","Low","",""
"E5","Notifications","Dropdown stays on-screen on mobile","Open the notification bell on a narrow mobile viewport","Panel stays fully visible on-screen, doesn't clip off the left edge","Medium","",""
"E6","Notifications","In-app toggle off stops new notifications","Turn off ""in-app notifications"" in Settings, then trigger a new dividend event","No new in-app notification appears; previously existing ones remain visible","Low","",""
"E7","Notifications","Email notifications disabled","Try to enable ""email notifications"" in Settings","Checkbox is disabled with a ""Coming soon"" badge; cannot be toggled","Low","",""
"F1","Tax Years","Empty state for a year with no payouts","Open Tax Years for a year with no confirmed dividends","Empty-state message shown, not an error","Low","",""
"F2","Tax Years","Year picker filters correctly","Switch between years using the year picker","Totals and per-holding breakdown update to match only the selected year","Medium","",""
"F3","Tax Years","By-holding totals reconcile","Compare the ""by holding"" summary totals for a year against the individual events listed below it","Sums match exactly","Medium","",""
"F4","Tax Years","Mobile layout","View Tax Years on a narrow mobile viewport","""By holding"" table shows as stacked cards, not a cramped grid","Low","",""
"G1","Settings","Notification preference saves","Toggle in-app notification preference, click Save","""Saving…"" then ""Saved."" shown; preference persists after page reload","Medium","",""
"G2","Settings","Export data format","Export data as a user with holdings","Downloaded JSON is nested by holding, no raw internal ids/foreign keys, includes transactions and dividends per holding","High","",""
"G3","Settings","Export with zero holdings","Export data as a user with no holdings","JSON has an empty holdings array, no error","Low","",""
"G4","Settings","Account deletion cascades","Delete account from Settings","All associated data removed (holdings, transactions, dividend events, notifications); redirected to home; login with same credentials afterward fails","High","",""
"G5","Settings","Mobile button layout","View Settings on a narrow mobile viewport","Export/Delete buttons don't overflow their frame; text wraps cleanly","Low","",""
"H1","Feedback","Logged-in submission","Submit feedback with a real message while logged in","Success message shown; row appears in Supabase feedback table with correct user_id/email","Medium","",""
"H2","Feedback","Anonymous submission","Submit feedback while logged out","Succeeds without requiring login","Medium","",""
"H3","Feedback","Empty message blocked","Submit feedback with the message field empty","Client-side required validation blocks submit","Low","",""
"H4","Feedback","Over-length message blocked","Submit feedback with a message over 4000 characters","Error shown, not saved","Low","",""
"H5","Feedback","Honeypot silently blocks bots","Fill the hidden honeypot field (e.g. via devtools) and submit","Appears to succeed from the sender's side, but nothing is actually saved","Medium","",""
"H6","Feedback","Rate limit enforced","Submit feedback 6+ times within an hour from the same IP","6th+ submission is rejected with a rate-limit error","Medium","",""
"I1","i18n","Default locale is Polish","Visit odlicz.com with no prior locale preference","Defaults to Polish, no URL prefix","High","",""
"I2","i18n","Language switch persists","Switch to English via the language switcher, then revisit the site later","URL gains /en prefix, all text switches, preference persists across sessions (cookie)","Medium","",""
"I3","i18n","Locale-aware 404","Visit a nonexistent page, e.g. /dashboard/nonsense","Locale-appropriate 404 page shown, not a generic Next.js error","Low","",""
"I4","i18n","No raw translation keys visible","Review every visible string on a full page (e.g. Settings) in both EN and PL","No literal untranslated keys visible anywhere (e.g. no raw ""Settings.title"" text)","Medium","",""
"J1","Responsive","Holdings table on mobile","View the dashboard holdings table on a phone-width screen","Shows as stacked cards, no horizontal scrolling required","Medium","",""
"J2","Responsive","Dividend events table on mobile","View Recent Activity on a phone-width screen","Stacked cards, status legend (""?"") still reachable","Medium","",""
"J3","Responsive","Header spacing on mobile","View the public and dashboard headers on a phone-width screen","Nav items have clear spacing, nothing visually overlaps or collides","Medium","",""
"J4","Responsive","Add-holding modal on mobile","Add a holding via a mobile-width browser","Modal fits the screen, all fields reachable and usable","Low","",""
"K1","Security","Cross-user holding access blocked","As User A, try to open User B's holding detail page via direct/guessed URL","Blocked / not found, no data leaked","High","",""
"K2","Security","Dashboard shows only own data","As User A, review the full dashboard","Never shows User B's holdings, transactions, or dividend events","High","",""
"K3","Security","Headless signup/login blocked","Attempt signup/login via an automated headless browser with no human interaction","Blocked by Turnstile","Medium","",""
"K4","Security","Security headers present","Inspect response headers on any page","Content-Security-Policy, X-Content-Type-Options, X-Frame-Options, Strict-Transport-Security all present","Medium","",""
"L1","SEO","Sitemap completeness","Visit /sitemap.xml","Lists landing, privacy, and both blog URLs in both languages with hreflang alternates","Low","",""
"L2","SEO","Robots.txt correctness","Visit /robots.txt","Disallows /dashboard and /design-preview, references the sitemap","Low","",""
"L3","SEO","Open Graph preview","Share the homepage link where OG previews render (e.g. paste in a chat app)","Shows the generated image plus correct title/description","Low","",""
"L4","SEO","Favicon routes work","Visit /icon and /apple-icon directly","Both return 200 with an image, not a 404","Low","",""
"M1","Position Math","Single buy sets quantity and avg price","Add holding XYZ: buy 100 shares on 2026-05-05 at $50.00/share","Holding detail shows Quantity = 100, Avg price = $50.00","High","",""
"M2","Position Math","Second buy recalculates weighted average","On the same holding, add a second buy: 50 shares on 2026-06-01 at $60.00/share","Quantity = 150 (100+50). Avg price = (100x50 + 50x60) / 150 = $53.33","High","","Exact formula: totalCost / totalQuantity, buys only"
"M3","Position Math","Sell reduces quantity but NOT average cost","Add a sell: 30 shares on 2026-07-01","Quantity = 120 (150-30). Avg price UNCHANGED at $53.33 -- sells don't reduce cost basis in this app's simplified average-cost model","High","","This surprises people -- it's a documented simplification, not a bug. See computeAveragePrice in position.ts"
"M4","Position Math","Oversell blocked against the right date","Try to sell 200 shares dated 2026-07-02 (only 120 held by then)","Blocked with an error, no transaction recorded","High","",""
"M5","Position Math","Quantity before any transaction is zero","Check quantity as of a date before the holding's first transaction (e.g. 2026-04-01, before the May 5 buy)","0 -- a dividend with an ex-date before your first buy is excluded entirely, never appears for this holding","High","","This is FR fix: 'historical dividend' bug, see position.test.ts"
"M6","Position Math","Dividend eligibility uses quantity AT THE EX-DATE, not today's quantity","Pick a real ticker; note a dividend's ex-dividend date that falls between your two buys above (i.e. after 100-share buy, before the 150-share buy)","That dividend's gross_amount_foreign = (per-share cash amount) x 100, NOT x 150 or x 120","High","","Verify per-share amount independently (broker/stockanalysis.com), multiply by 100, compare to the 'i' breakdown's gross amount"
"M7","Position Math","Dividend after all buys, before the sell","Note a dividend with ex-date after your 150-share point but before the sell","gross_amount_foreign = per-share amount x 150","Medium","",""
"M8","Position Math","Dividend after the sell","Note a dividend with ex-date after the sell (120 shares held)","gross_amount_foreign = per-share amount x 120","Medium","",""
"N1","Tax Calc Reference","Formula to verify any real dividend","Open the 'i' (how this was calculated) button on any confirmed dividend","grossAmountPln = grossForeign x nbpRate (rounded to 2dp). polishTaxDue = grossAmountPln x 19%. foreignCredit = MIN(grossAmountPln x withholding%, grossAmountPln x treaty% [if shown], polishTaxDue). setAside = polishTaxDue - foreignCredit","High","","Apply this formula by hand to any real dividend to independently verify the displayed numbers"
"N2","Tax Calc Reference","Worked example: US with W-8BEN","Calculator only -- inputs: gross=$100 foreign, NBP rate=4.0000, withholding=15%, treaty=15%","grossPln=400.00 zl, taxDue=76.00 zl, credit=60.00 zl, setAside=16.00 zl","Low","","Matches calculate.test.ts 'AC-005', already covered by CI"
"N3","Tax Calc Reference","Worked example: UK, 0% withholding","Calculator only -- inputs: gross=$100 foreign, NBP rate=5.0000, withholding=0%","grossPln=500.00 zl, taxDue=95.00 zl, credit=0.00 zl, setAside=95.00 zl","Low","","Matches calculate.test.ts 'AC-006'"
"N4","Tax Calc Reference","Worked example: US WITHOUT W-8BEN (the tricky one)","Calculator only -- inputs: gross=$100 foreign, NBP rate=4.0000, withholding=30%, treaty=15%","grossPln=400.00 zl, taxDue=76.00 zl, credit=60.00 zl (15% of 400, NOT 30%'s worth), setAside=16.00 zl -- IDENTICAL setAside to N2 despite paying double the US tax","Medium","","Matches calculate.test.ts 'AC-011' -- this is the fact the blog article had to be corrected on"
"N5","Tax Calc Reference","Worked example: withholding exceeds Polish tax due","Calculator only -- inputs: gross=$100 foreign, NBP rate=4.3, withholding=26.375%, no treaty cap","grossPln=430.00 zl, taxDue=81.70 zl, credit capped at 81.70 zl (not the full withheld amount), setAside=0.00 zl","Low","","Matches calculate.test.ts 'AC-008'"
